Gorsachius melanolophus,1,"請問逢甲大學中的""阿德學長""指的是哪一種鳥類",黑冠麻鷺,麻雀,白鷺鷥,老鷹
Gorsachius melanolophus,2,請問在逢甲大學內的黑冠麻鷺有什麼別稱,阿德學長,阿文學長,逢甲校鳥,無
Gorsachius melanolophus,3,請問黑冠麻鷺有什麼特徵,背，羽有斑點,長喙,體型龐大,黑色的身軀
Gorsachius melanolophus,4,下列何者不是黑冠麻鷺常出現的地方,中高海拔山區,公園,潮濕草地,樹上
Gorsachius melanolophus,5,下列何者是黑冠麻鷺的習性,以上皆是,會伸長脖子靜靜站立,多為夜間捕食,常出現在都會區
Gorsachius melanolophus,6,黑冠麻鷺在繁殖期時眼周的顏色是什麼顏色,藍色,白色,黑色,綠色
Gorsachius melanolophus,7,黑冠麻鷺在非繁殖期時眼周的顏色是什麼顏色,藍綠色,深灰褐色,淡黃褐色,黑色
Gorsachius melanolophus,8,黑冠麻鷺的繁殖期通常從什麼時候開始,3月,7月,10月,12月
Sciuridae,1,松鼠的毛色不受什麼影響,吃的東西,溫度,地域,季節
Sciuridae,2,松鼠在某些地區有怎麼樣的象徵,幸運,幸福,誠信,忠誠
Sciuridae,3,"""松鼠危機""的原因是下列何者",人為餵食,亂丟垃圾,植物變少,棲息地變少
Sciuridae,4,下列何者不是松鼠的特色,草食性,敏銳的視覺,良好的運動能力,尖銳的門牙
Sciuridae,5,松鼠尾巴是用來做什麼的,保持平衡,保護自己,引誘小生物,求偶
Sciuridae,6,原始松鼠生活在哪裡,北美洲,中南美洲,亞洲,歐洲
Sciuridae,7,松鼠的交配期約在哪個時候,2~3月,3~4月,5~6月,10~11月
Sciuridae,8,松鼠通常有幾個巢,2~3,3~4,5個以上,1個
sparrow,1,麻雀的繁殖期通常從什麼時候開始,3月、4月,7月、8月,9月、10月,1月、2月
sparrow,2,麻雀在春夏季主要以什麼為食,小昆蟲,果實及種子,麵包,以上皆非
sparrow,3,麻雀在秋冬季主要以什麼為食,果實及種子,小昆蟲,麵包,以上皆非
sparrow,4,麻雀的孵化期約多久,3~4個月,1~2個月,半個月,5~6個月
sparrow,5,麻雀可以形容人怎樣?,吵鬧,熱情,體型嬌小,生性活潑
sparrow,6,麻雀在群體中的地位可以透過哪項特徵辨識,喉部的黑色區域也相應越大,體型較大,飛行速度較快,叫聲越尖銳
sparrow,7,麻雀每次產卵的個數是,4~6個,1~3個,7~9個,10個以上
sparrow,8,下列何者不是雄麻雀求偶的姿態,張開雙翅,豎起尾羽,舉喙朝天,兩翅筆直的斜指向地
dog,1,下列何者不是台灣犬,平地犬,泰雅犬,布農犬,黃金獵犬
dog,2,下列何者不是台灣犬的特徵,以上皆是,杏眼,舉尾,南瓜頭
dog,3,下列何者不是台灣犬適合當看門犬的原因是,適應環境能力佳,地域性強,不易跟陌生人親近,反應靈敏
dog,4,狗在12生肖排第幾,11,3,10,12
dog,5,下列何者為犬類祖先,狼,獅,虎,豹
dog,6,下列何者不是六畜,鵝,狗,雞,豬
dog,7,下列何者是最早被馴服的家畜,狗,雞,豬,馬
dog,8,狗常吃水果會產生下列何種症狀,以上皆是,軟便,拉肚子,腎臟功能异常
dog,9,狗喜歡被撫摸哪裡,腹部,頭部,尾巴,屁股
turtle,1,下列何者不是烏龜所需要的養分,維他命,蛋白质,脂肪,碳水化合物
turtle,2,下列何者不是烏龜會有的行為,早上覓食,打洞,逃跑,冬眠
turtle,3,下列何者不是烏龜的食物,烏龜卵,小魚小蝦,蠕蟲,螺類
turtle,4,低於攝氏幾度烏龜會冬眠,10,15,5,0
turtle,5,烏龜卵多久會孵化,50~80天,30~50天,80~100天,100~120天
turtle,6,幾月是烏龜的產卵期,5~8月,1~3月,3~6月,9~12月
turtle,7,烏龜出生的雌雄是受什麼影響,溫度,國家,土壤,海域
turtle,8,下列何者不是人工飼養烏龜的原因,烏龜覓食困難,孵化率低,存活率低,天敵的危害
cicada,1,蟬為甚麼要鳴叫,吸引異性,嚇唬天敵,引誘食物,吸引蟬共鳴
cicada,2,蟬的哪個階段所花時間最長,成長期,成蟲期,孵化期,產卵期
cicada,3,幾月是蟬的產卵期,7月、8月,6月、7月,8月、9月,5月、6月
cicada,4,下列何者是蟬的外型特徵,以上皆是,外骨骼很坚硬,双翅相当发达,雙翅透明或半透明
cicada,5,下列何者不是蟬的生活習性,以上皆非,生命周期多為質數年,雄蟬會鳴叫,不能聽到自己的叫聲
cicada,6,下列哪個不是蟬的三種叫聲,嚇阻聲,集合聲,求偶聲,粗厲鳴聲
cicada,7,蟬多在哪裡羽化,樹幹上,樹葉上,土裡,草地上
cicada,8,"請問週期蟬的""週期""通常是什麼數",質數,偶數,奇數,3的倍數
cat,1,下列何者是貓的特徵,以上皆是,生性孤獨,聰明伶俐,喜愛清潔
cat,2,下列何者不是貓舔毛的原因,抓跳蚤,保持潔淨的身體,調節體溫,防水
cat,3,貓從高處跳下不易受傷是因為,强大的平衡能力,強大的運動能力,強而有力的四肢,身體柔軟
cat,4,下列哪種物質幫助貓咪可以在夜晚看得清楚,牛磺酸,葉黃素,維生素A,花青素
cat,5,母貓一次最多可以生幾隻小貓,12,3,6,9
cat,6,下列何者是貓科動物,以上皆是,貓,虎,獅
cat,7,下列何者是家貓的祖先,波斯貓,東方短毛貓,美國捲耳貓,索馬里貓
cat,8,老鼠跟魚可以讓貓攝取哪種養分,牛磺酸,葉黃素,維生素A,花青素
duck,1,下列哪種鴨子的種類最多,潛水鴨,鑽水鴨,棲鴨,家鴨
duck,2,鴨子的視角是幾度,360,180,120,90
duck,3,下列何者是家鴨的祖先,綠頭鴨,褐色菜鴨,番鴨,土番鴨
duck,4,鴨子尾部的尾脂線有什麼用途,分泌脂肪 塗抹在羽毛上防水,沒有功能,分泌脂肪使尾巴不會變濕,分泌脂肪使尾巴浮在水上
duck,5,鴨肉適合哪些人吃,高血压，高血脂患者,感冒患者,動脈硬化者,肥胖者
duck,6,下列何者是鴨科,以上皆是,天鵝,雁,鴛鴦
duck,7,雄鴨每年換幾次羽毛,2,1,3,5
butterfly,1,下列何者是蝴蝶的特徵,以上皆是,蝶類翅膀正面的鱗粉色澤亮麗,蝶類軀幹上被毛稀疏,蝶翅表面不被毛絨
butterfly,2,請問不完全變態少了哪的階段,蛹階段,幼蟲階段,成蟲階段,卵階段
butterfly,3,請問最多蝴蝶數量的地區,南美洲,北美洲,東南亞,歐洲
butterfly,4,下列何者是蝴蝶翅膀的功能,以上皆是,御敵,隱蔽,吸引異性
butterfly,5,下列何者是世界最漂亮的蝴蝶,光明女神蝶,菜粉蝶,稻眼蝶,皇蛾陰陽蝶
butterfly,6,蝴蝶每秒振翅的次數是幾下,4~10,2~5,11~15,20~30
butterfly,7,蝴蝶的翅膀有甚麼物質可以使其在雨天飛行,脂肪,蛋白質,醣類,礦物質
butterfly,8,蝴蝶可以以何種型態度過冬季,以上皆是,卵,幼蟲,蛹
car,1,誰是第一個發明車輛的人,卡爾·賓士,戈特利布·戴姆勒,亨利·福特,布蘭卡
car,2,第一台汽車有幾個輪胎,3,4,2,6
car,3,首先大量生產平價汽車，是使汽車得以普及化的人,亨利·福特,埃米爾·羅傑,尼考羅斯·奧托,艾蒂安·雷諾
car,4,誰制造出第一輛蒸汽機驅動的汽車,尼古拉·約瑟夫·居紐,卡爾·賓士,艾蒂安·雷諾,魯道夫·狄塞爾
car,5,哪個不是公認的五大車展,上海車展,東京車展,北美車展,巴黎車展
car,6,台灣要幾歲才可以考汽車駕照,18,16,17,20
car,7,汽車的電池是哪一種電池?,蓄電池,鋰電池,鹼性電池,碳鋅電池
car,8,第一輛電動車是由誰發明出來的,安德森,布蘭卡,尼古拉·約瑟夫·居紐,詹姆斯·瓦特
car,9,下列何者不是汽車生產量世界前五的國家,巴西,中國,日本,美國
car,10,下列何者是車輛識別碼的縮寫,VIN,VPN,CIN,PIN
motorcycle,1,"摩托車的台語""歐兜賣""是源自與哪種語言",日語,英語,中文,韓語
motorcycle,2,下列何者為機車的優點,以上皆是,操縱簡單,行動方便,價格低廉
motorcycle,3,哪個地區的機車最多,亞洲,北美洲,歐洲,大洋洲
motorcycle,4,第一輛機車是誰發明的,尼可拉斯·庫紐,愛德華·巴特勒,威廉·邁巴赫,戈特利布·戴姆勒
motorcycle,5,台灣機車車牌有幾種,4,3,2,5
motorcycle,6,氣缸容積等於大於550CC的車牌顏色是甚麼顏色,紅,紫,黃,白
motorcycle,7,考領大型重型機車駕駛執照需年齡備滿幾歲,20,18,16,17
